id,lesson_id,role,temae_name,note,created_at
1,2,teishu,薄茶/なし/洗い茶巾,茶碗の準備：水を張り、茶巾、茶筅、茶杓をセット。茶巾の端は固く絞って上に上げる。,"2026-03-25 05:32:35.289409"
2,2,kyaku,薄茶/なし/,,"2026-03-25 05:32:36.885228"
3,3,teishu,濃茶/なし/逆勝手,,"2026-03-25 05:37:01.111624"
4,3,kyaku,薄茶/なし/,,"2026-03-25 05:37:03.516543"
7,4,teishu,濃茶/旅箪笥/平点前,半東,"2026-03-26 00:31:35.47519"
8,4,kyaku,薄茶/なし/,,"2026-03-26 00:31:41.202547"
9,5,teishu,濃茶/なし/逆勝手,,"2026-03-26 00:36:27.502594"
10,5,kyaku,薄茶/なし/,,"2026-03-26 00:36:29.765287"
13,6,teishu,薄茶/なし/絞り茶巾,,"2026-03-26 00:51:38.919998"
14,6,kyaku,薄茶/なし/,,"2026-03-26 00:51:41.172369"
19,7,teishu,薄茶/行雲棚/茶会形式,お茶がこぼれたら乾いた雑巾で拭き、茶碗を下げてからすぐに新しく点てたお茶を出す,"2026-04-07 15:26:14.010051"
20,7,kyaku,薄茶/行雲棚/茶会形式,,"2026-04-07 15:26:17.593737"
23,8,teishu,薄茶/丸卓/まるじょく薄茶,,"2026-04-14 13:21:32.278695"
24,8,kyaku,薄茶/なし/,,"2026-04-14 13:21:34.620045"
27,9,teishu,薄茶/更好棚/　　,平棗の扱い→横から持って掌のうえに置いて（膝の上）、半がかり,"2026-04-21 14:50:13.053633"
28,9,kyaku,濃茶/丸卓/茶通箱,,"2026-04-21 14:50:16.420358"
29,10,teishu,薄茶/なし/運び点前,,"2026-05-19 08:46:46.275194"
30,10,kyaku,薄茶/なし/運び点前,,"2026-05-19 08:46:48.577138"
33,11,teishu,濃茶/丸卓/　,,"2026-05-26 09:35:26.694423"
34,11,kyaku,薄茶/なし/運び点前,お茶を飲むとき2回点前に回す理由→亭主が触るところに口をつけないようにするため,"2026-05-26 09:35:30.194562"
35,12,teishu,濃茶/更好棚/　,四角い棚は、水指は全出し,"2026-05-26 12:38:33.092051"
36,12,kyaku,薄茶/更好棚/　,,"2026-05-26 12:38:37.629183"
37,13,teishu,濃茶/なし/大津袋,,"2026-06-09 08:44:18.243219"
38,13,kyaku,濃茶/なし/唐物,割請,"2026-06-09 08:44:22.123916"
39,14,teishu,薄茶/なし/忘れ,,"2026-08-07 07:27:59.018515"
40,14,kyaku,薄茶/なし/,,"2026-08-07 07:28:00.096929"
41,15,teishu,薄茶/なし/忘れ,,"2026-08-07 07:37:40.014471"
42,15,kyaku,薄茶/なし/,,"2026-08-07 07:37:41.078593"
49,19,teishu,薄茶/なし/葉蓋,,"2026-08-08 08:01:07.929871"
50,19,kyaku,薄茶/なし/,,"2026-08-08 08:01:09.04238"
55,20,teishu,薄茶/なし/休み,,"2026-08-08 08:16:28.010908"
56,20,kyaku,薄茶/なし/,,"2026-08-08 08:16:29.140857"
59,21,teishu,薄茶/なし/名水点て,,"2026-08-15 12:53:15.812383"
60,21,kyaku,薄茶/なし/,,"2026-08-15 12:53:16.88174"
61,22,teishu,薄茶/なし/茶箱　テスト,,"2026-08-21 08:25:05.362023"
62,22,kyaku,薄茶/なし/,,"2026-08-21 08:25:06.472226"
63,23,teishu,薄茶/なし/テスト,,"2026-08-27 11:25:50.054227"
64,23,kyaku,薄茶/なし/,,"2026-08-27 11:25:51.277794"
65,24,teishu,薄茶/なし/テスト,,"2026-08-27 11:27:25.294057"
66,24,kyaku,薄茶/なし/,,"2026-08-27 11:27:27.845832"
69,37,teishu,薄茶/なし/Dry,,"2026-08-30 14:31:02.685713"
70,37,kyaku,薄茶/なし/,,"2026-08-30 14:31:03.843829"
71,38,teishu,薄茶/なし/Chi,,"2026-08-30 14:33:11.590697"
72,38,kyaku,薄茶/なし/,,"2026-08-30 14:33:12.771353"
73,39,teishu,薄茶/なし/He,,"2026-08-30 14:33:44.540223"
74,39,kyaku,薄茶/なし/,,"2026-08-30 14:33:45.698943"
75,40,teishu,薄茶/なし/Cup,,"2026-08-30 14:35:30.396235"
76,40,kyaku,薄茶/なし/,,"2026-08-30 14:35:31.560859"
77,41,teishu,薄茶/なし/Bbkmm,,"2026-08-30 14:35:43.863989"
78,41,kyaku,薄茶/なし/,,"2026-08-30 14:35:45.02253"
79,42,teishu,薄茶/なし/Boom,,"2026-08-30 14:35:57.477147"
80,42,kyaku,薄茶/なし/,,"2026-08-30 14:35:58.64863"
81,43,teishu,薄茶/なし/Fig,,"2026-08-30 14:54:46.40316"
82,43,kyaku,薄茶/なし/,,"2026-08-30 14:54:47.964588"
85,44,teishu,薄茶/なし/Ghj,,"2026-08-30 14:55:49.760815"
86,44,kyaku,薄茶/なし/,,"2026-08-30 14:55:50.918445"
87,45,teishu,薄茶/なし/Chi,,"2026-08-30 14:56:01.806356"
88,45,kyaku,薄茶/なし/,,"2026-08-30 14:56:02.964566"
89,46,teishu,薄茶/なし/Ghj,,"2026-08-30 14:56:25.544906"
90,46,kyaku,薄茶/なし/,,"2026-08-30 14:56:26.698637"
